"Serie","Periodo","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|No_especificado",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2013","3","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2012","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2011","6","4","2","0","1","0","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2010","5","4","1","0","0","0","0","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2009","4","3","1","0","1","0","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2008","5","5","0","0","0","0","0","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2007","7","6","1","0","3","2","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2006","9","7","2","0","1","1","0","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2005","7","5","2","0","1","1","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2004","10","8","2","0","2","2","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2003","7","4","3","0","1","1","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2002","10","8","2","0","1","0","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2001","6","6","0","0","3","2","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2000","16","10","6","0","2","1","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","1999","15","11","4","0","2","1","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","1998","10","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0",
