indicator_id,title,ods_number,unit,loaded,n_observations
1N.3.3.A,"1n.3.3.a Porcentaje de la población que presenta carencia por acceso a la seguridad social, por desglose geográfico y grupo poblacional (Entidad Federativa)",1,Porcentaje,False,0
1N.3.3.B,"1n.3.3.b Porcentaje de la población que presenta carencia por acceso a la seguridad social, por desglose geográfico y grupo poblacional  (Municipio o demarcación territorial)",1,Porcentaje,False,0
1N.3.3,1n.3.3 Porcentaje de la población que presenta carencia por acceso a la seguridad social,1,Porcentaje,True,4
1R.1.1,"1r.1.1 Porcentaje de la población que vive por debajo del umbral de pobreza extrema regional, desglosada por sexo, edad, condición de actividad, ubicación geográfica (urbana y rural) y etnia",1,Porcentaje,True,16
2.1.2(1),"2.1.2(1) Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad (2016 - 2022)",2,Porcentaje,True,4
2.1.2(2),"2.1.2(2) Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad (2008 - 2014) [Histórico]",2,Porcentaje,True,4
2.1.2.A,"2.1.2.a Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico (Entidad federativa)",2,Porcentaje,False,0
2.1.2.B,"2.1.2.b Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico (Municipio o demarcación territorial)",2,Porcentaje,False,0
2.2.1,"2.2.1 Prevalencia del retraso en el crecimiento (estatura para la edad, desviación típica < -2 de la mediana de los patrones de crecimiento infantil de la Organización Mundial de la Salud (OMS)) entre la población menor a 5 años",2,Porcentaje,True,8
2.2.2(1),"2.2.2(1) Prevalencia de emaciación (peso para la estatura, desviación típica <-2 de la mediana de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años",2,Porcentaje,True,7
2.2.2(2),"2.2.2(2) Prevalencia de sobrepeso u obesidad (peso para la estatura, desviación típica >+2 de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años",2,Porcentaje,True,8
2.2.2,"2.2.2 Prevalencia de la malnutrición (peso para la estatura, desviación típica > +2 o < -2 de la mediana de los patrones de crecimiento infantil de la OMS) entre la población menor a 5 años, desglosada por tipo (emaciación y sobrepeso)",2,Porcentaje,True,8
2.2.3.A,"2.2.3.a Prevalencia de la anemia en las mujeres de entre 15 y 49 años, desglosada por embarazo (medición mediante sangre venosa)",2,Porcentaje,True,3
2.2.3.B,"2.2.3.b Prevalencia de la anemia en las mujeres de entre 15 y 49 años, desglosada por embarazo (medición mediante sangre capilar)",2,Porcentaje,True,3
2N.1.1,2n.1.1 Porcentaje de la población menor de 5 años que presenta algún tipo de desnutrición,2,Porcentaje,True,8
2N.2.1.A,"2n.2.1.a Porcentaje de población con inseguridad alimentaria moderada o severa, por desglose geográfico y grupo poblacional (Entidad federativa).",2,Porcentaje,False,0
2N.2.1.B,"2n.2.1.b Porcentaje de población con inseguridad alimentaria moderada o severa, por desglose geográfico y grupo poblacional (Municipio o demarcación territorial)",2,Porcentaje,False,0
2N.2.1,2n.2.1 Porcentaje de población con inseguridad alimentaria moderada o severa,2,Porcentaje,True,4
2N.2.2.A,"2n.2.2.a Porcentaje de población con carencia por acceso a la alimentación nutritiva y de calidad, por desglose geográfico y grupo poblacional",2,Porcentaje,False,0
2N.2.2,2n.2.2 Porcentaje de población con carencia por acceso a la alimentación nutritiva y de calidad,2,Porcentaje,True,4
2N.3.1,2n.3.1 Rendimiento agrícola del maíz de grano,2,Unidad de medida por hectárea (udm/ha),True,23
3.1.1,3.1.1 Razón de mortalidad materna,3,Defunciones de mujeres por cada 100 mil  nacidos vivos,True,34
3.1.2,3.1.2 Proporción de partos atendidos por personal sanitario capacitado,3,Porcentaje,True,34
3.2.1,3.2.1 Tasa de mortalidad de niños menores de 5 años,3,Defunciones de menores de 5 años por cada mil nacidos vivos,True,34
3.2.2,3.2.2 Tasa de mortalidad neonatal,3,Defunciones de niños en edad neonatal por cada mil nacidos vivos,True,34
3.3.1,"3.3.1 Número de nuevas infecciones por el VIH por cada 1.000 habitantes no infectados, desglosado por sexo, edad y poblaciones clave",3,Tasa,True,35
