ods_pair,n_correlaciones,corr_promedio,max_|corr|,ODS_A,ODS_B
"(3, 14)",46,-3.1726280287923345e-05,0.9936393931422025,ODS 3 (Salud),ODS 14 (Océanos)
"(4, 15)",45,0.5937373871578167,0.9983490771095027,ODS 4 (Educación),ODS 15 (Ecosistemas)
"(8, 15)",45,0.2618203793167257,0.9866781410046097,ODS 8 (Trabajo),ODS 15 (Ecosistemas)
"(8, 12)",44,0.3257539751626959,1.0,ODS 8 (Trabajo),ODS 12 (Producción)
"(4, 12)",43,0.5498224559397461,1.0,ODS 4 (Educación),ODS 12 (Producción)
"(5, 8)",43,0.29306212280534094,1.0,ODS 5 (Género),ODS 8 (Trabajo)
"(4, 17)",43,0.5398871597135666,1.0,ODS 4 (Educación),ODS 17 (Alianzas)
"(3, 5)",42,-0.12073037245679437,1.0,ODS 3 (Salud),ODS 5 (Género)
"(4, 5)",42,0.8608988307588173,1.0,ODS 4 (Educación),ODS 5 (Género)
"(8, 17)",40,0.22449036094708674,1.0,ODS 8 (Trabajo),ODS 17 (Alianzas)
"(1, 3)",39,0.13566778601907556,0.9999999999999999,ODS 1 (Pobreza),ODS 3 (Salud)
"(6, 16)",39,0.08284493284493287,0.9999999999999999,ODS 6 (Agua),ODS 16 (Paz)
"(3, 13)",37,0.019662586919930215,0.9981671554252198,ODS 3 (Salud),ODS 13 (Clima)
"(7, 8)",36,0.2453985993653176,0.9535714285714283,ODS 7 (Energía),ODS 8 (Trabajo)
"(3, 7)",34,0.12857289506559064,0.9999999999999999,ODS 3 (Salud),ODS 7 (Energía)
"(12, 16)",34,0.5691176470588236,0.9642857142857145,ODS 12 (Producción),ODS 16 (Paz)
"(6, 6)",32,-0.13036130536130536,0.9999999999999999,ODS 6 (Agua),ODS 6 (Agua)
"(16, 17)",31,0.31915879819105625,0.9999999999999999,ODS 16 (Paz),ODS 17 (Alianzas)
"(15, 16)",30,0.5693516416926736,0.942857142857143,ODS 15 (Ecosistemas),ODS 16 (Paz)
"(6, 15)",30,0.012685198035174391,0.9752173865600178,ODS 6 (Agua),ODS 15 (Ecosistemas)
"(1, 8)",30,0.33558441558441554,0.9999999999999999,ODS 1 (Pobreza),ODS 8 (Trabajo)
"(6, 9)",30,0.0424886224886225,0.9999999999999999,ODS 6 (Agua),ODS 9 (Industria)
"(4, 7)",29,-0.11250157888088926,0.9666666666666667,ODS 4 (Educación),ODS 7 (Energía)
"(6, 12)",29,-0.04299665851389984,0.9999999999999999,ODS 6 (Agua),ODS 12 (Producción)
"(8, 14)",29,-0.18719091178355948,0.9636241116594316,ODS 8 (Trabajo),ODS 14 (Océanos)
"(8, 10)",29,-0.05024630541871922,0.9999999999999999,ODS 8 (Trabajo),ODS 10 (Desigualdad)
"(7, 16)",29,0.08188535602328705,0.9999999999999999,ODS 7 (Energía),ODS 16 (Paz)
"(8, 11)",26,0.02769089884474493,0.9999999999999999,ODS 8 (Trabajo),ODS 11 (Ciudades)
"(8, 13)",25,-0.267201347197931,1.0,ODS 8 (Trabajo),ODS 13 (Clima)
"(5, 16)",24,0.2913079890870189,0.9999999999999999,ODS 5 (Género),ODS 16 (Paz)
"(1, 4)",23,0.03600380863807976,0.9999999999999999,ODS 1 (Pobreza),ODS 4 (Educación)
"(6, 17)",22,0.0033079042169951774,0.9999999999999999,ODS 6 (Agua),ODS 17 (Alianzas)
"(3, 11)",22,0.058170742514924025,0.9999999999999999,ODS 3 (Salud),ODS 11 (Ciudades)
"(2, 3)",22,0.08693017589627695,0.991031208965115,ODS 2 (Hambre),ODS 3 (Salud)
"(4, 13)",21,-0.3772081040593674,0.9981671554252198,ODS 4 (Educación),ODS 13 (Clima)
"(4, 10)",20,-0.028722943722943706,0.9999999999999999,ODS 4 (Educación),ODS 10 (Desigualdad)
"(6, 14)",20,0.073616633441646,0.9458501857923122,ODS 6 (Agua),ODS 14 (Océanos)
"(9, 9)",19,0.23706959218609858,0.9892857142857142,ODS 9 (Industria),ODS 9 (Industria)
"(6, 7)",19,0.03710693738394565,1.0,ODS 6 (Agua),ODS 7 (Energía)
"(5, 6)",18,0.20901022267216537,0.9999999999999999,ODS 5 (Género),ODS 6 (Agua)
"(10, 16)",17,-0.058244206773618495,1.0,ODS 10 (Desigualdad),ODS 16 (Paz)
"(4, 11)",16,0.16161913105838407,0.9999999999999999,ODS 4 (Educación),ODS 11 (Ciudades)
"(1, 16)",14,0.31402288188002464,0.9999999999999999,ODS 1 (Pobreza),ODS 16 (Paz)
"(9, 15)",14,0.12850685110270899,0.98058067569092,ODS 9 (Industria),ODS 15 (Ecosistemas)
"(7, 9)",14,0.019861085766658588,0.9340659340659341,ODS 7 (Energía),ODS 9 (Industria)
"(11, 16)",14,0.1076530612244898,0.9999999999999999,ODS 11 (Ciudades),ODS 16 (Paz)
"(9, 12)",14,-0.0006017791732077663,0.9945054945054945,ODS 9 (Industria),ODS 12 (Producción)
"(5, 9)",14,0.024986923082860237,1.0,ODS 5 (Género),ODS 9 (Industria)
"(9, 17)",13,0.18400931991191574,1.0,ODS 9 (Industria),ODS 17 (Alianzas)
"(4, 14)",13,0.5979226615478385,0.9870242020882817,ODS 4 (Educación),ODS 14 (Océanos)
"(5, 17)",13,0.6470439974227967,1.0,ODS 5 (Género),ODS 17 (Alianzas)
"(2, 8)",12,-0.1637153758187518,0.9047619047619048,ODS 2 (Hambre),ODS 8 (Trabajo)
"(5, 15)",12,0.5629686500004684,0.9999999999999999,ODS 5 (Género),ODS 15 (Ecosistemas)
"(12, 15)",12,0.8609788663479319,0.9866781410046096,ODS 12 (Producción),ODS 15 (Ecosistemas)
"(12, 14)",11,0.3901963443929705,0.9496756211121405,ODS 12 (Producción),ODS 14 (Océanos)
"(13, 16)",11,-0.5698953304868648,0.942857142857143,ODS 13 (Clima),ODS 16 (Paz)
"(5, 12)",11,0.934197929783349,1.0,ODS 5 (Género),ODS 12 (Producción)
"(15, 17)",11,0.6760662405965724,0.9983490771095027,ODS 15 (Ecosistemas),ODS 17 (Alianzas)
"(7, 17)",10,-0.33146445659603546,0.9571428571428571,ODS 7 (Energía),ODS 17 (Alianzas)
"(7, 10)",10,-0.009090909090909071,0.8999999999999998,ODS 7 (Energía),ODS 10 (Desigualdad)
"(9, 10)",10,-0.18285714285714288,0.9999999999999999,ODS 9 (Industria),ODS 10 (Desigualdad)
"(6, 13)",10,0.14027555053642016,0.9627329192546585,ODS 6 (Agua),ODS 13 (Clima)
"(5, 7)",10,-0.18688509051026445,1.0,ODS 5 (Género),ODS 7 (Energía)
"(1, 6)",9,-0.13481888481888482,0.9999999999999999,ODS 1 (Pobreza),ODS 6 (Agua)
"(1, 15)",9,-0.3435142518867321,0.9746794344808964,ODS 1 (Pobreza),ODS 15 (Ecosistemas)
"(14, 15)",9,0.3960900168198773,0.9881950122767214,ODS 14 (Océanos),ODS 15 (Ecosistemas)
"(2, 4)",9,0.6526657588403174,0.9211374597654716,ODS 2 (Hambre),ODS 4 (Educación)
"(2, 9)",9,-0.07256134022803615,0.8999999999999998,ODS 2 (Hambre),ODS 9 (Industria)
