"Serie","Periodo","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Total_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Hombres_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|Mujeres_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países","Sexo_(t-h-m-na)|No_especificado_Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2008","10","3","0","0","8","3","0","0","2","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2007","5","0","1","0","5","0","1","0","0","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2006","8","1","1","0","8","1","1","0","0","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2005","6","0","2","0","5","0","2","0","1","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2004","14","0","2","0","14","0","2","0","0","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2003","11","1","3","0","11","1","3","0","0","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2002","22","1","2","0","19","1","2","0","3","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2001","21","0","6","0","19","0","4","0","2","0","2","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","2000","15","0","1","0","13","0","1","0","2","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1999","24","0","2","0","23","0","2","0","1","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1998","27","2","2","0","26","2","2","0","0","0","0","0","1","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1997","21","2","1","0","17","1","1","0","3","0","0","0","1","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1996","27","1","1","0","26","1","0","0","1","0","1","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1995","26","1","1","0","26","1","0","0","0","0","1","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1994","27","2","1","0","26","2","1","0","1","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1993","26","0","0","0","23","0","0","0","3","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1992","12","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1991","12","0","0","0","10","0","0","0","2","0","0","0","0","0","0","0",
"Número_de_muertes_por_suicidio_(personas_con_residencia_habitual_fuera_de_México_o_no_especificada)","1990","9","0","2","0","9","0","2","0","0","0","0","0","0","0","0","0",
