"Serie","Periodo","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|No_especificado",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2012","2","2","0","0","1","1","0","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2011","4","2","2","0","1","1","0","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2010","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2009","6","3","3","0","1","0","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2008","5","3","2","0","4","3","1","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2007","8","6","2","0","3","3","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2006","7","1","6","0","2","2","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2005","2","0","2","0","3","2","1","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2004","3","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2003","8","4","4","0","3","0","3","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2002","8","6","2","0","1","1","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2001","7","5","2","0","0","0","0","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2000","11","4","7","0","1","1","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","1999","6","4","2","0","0","0","0","0","1","0","1","0","0","0","0","0",
"Defunciones_atribuidas_al_agua_insalubre,_el_saneamiento_deficiente_y_la_falta_de_higiene_(exposición_a_servicios_insalubres_de_agua,_saneamiento_e_higiene_para_todos_(WASH)),_según_la_residencia_habitual_fuera_de_México_o_no_especificada","1998","13","9","4","0","2","1","1","0","0","0","0","0","0","0","0","0",
